fund_name,expense_ratio_pct
UBL Fixed Return Plan III (Y),0.38
UBL Fixed Return Plan III (Z),0.16
UBL Fixed Return Plan IV (G),0.94
UBL Fixed Return Plan IV (M),0.38
UBL Fixed Return Plan IV (O),1.03
UBL Government Securities Fund,1.08
UBL Growth & Income Fund,1.59
UBL Income Opportunity Fund,0.47
UBL Liquidity Fund,0.38
UBL Liquidity Plus Fund,0.98
UBL Money Market Fund,0.98
UBL Pakistan Enterprise Exchange Traded Fund,0.02
UBL Punjab Pension Fund,-7.34
UBL Retirement Saving Fund,1.03
UBL Retirement Saving Fund,1.93
UBL Retirement Saving Fund,1.84
UBL Retirement Saving Fund,1.22
UBL Special Savings Plan V,1.76
UBL Special Savings Plan X,1.60
UBL Stock Advantage Fund,3.33
UBL Voluntary Pension Fund KPK,0.90
Unit Trust of Pakistan,3.53
